rna0
rna1
rna2
rna3
rna4
rna17
rna18
rna19
rna20
rna21
rna24
rna25
rna31
rna32
rna37
rna38
rna39
rna50
rna51
rna58
rna61
rna62
rna63
rna67
rna71
rna72
rna75
rna78
rna79
rna84
rna85
rna86
rna87
rna89
rna91
rna92
rna93
rna103
rna128
rna129
rna130
rna136
rna148
rna149
rna156
rna157
rna161
rna169
rna172
rna173
rna174
rna175
rna180
rna182
rna183
rna184
rna185
rna188
rna189
rna194
rna195
rna199
rna200
rna206
rna207
rna208
rna209
rna210
rna211
rna235
rna239
rna243
rna244
rna246
rna247
rna248
rna249
rna252
rna253
rna259
rna265
rna266
rna267
rna269
rna274
rna275
rna279
rna280
rna281
rna282
rna292
rna298
rna299
rna300
rna301
rna302
rna303
rna305
rna306
rna310
rna311
rna312
rna313
rna314
rna315
rna316
rna317
rna326
rna332
rna333
rna340
rna341
rna346
rna347
rna348
rna349
rna350
rna353
rna354
rna355
rna361
rna362
rna383
rna385
rna386
rna393
rna398
rna400
rna424
rna439
rna440
rna446
rna447
rna448
rna449
rna450
rna451
rna452
rna453
rna454
rna455
rna456
rna457
rna458
rna459
rna490
rna491
rna494
rna509
rna510
rna511
rna512
rna534
rna547
rna548
rna553
rna554
rna557
rna562
rna563
rna570
rna571
rna573
rna577
rna578
rna581
rna582
rna586
rna587
rna610
rna612
rna613
rna621
rna627
rna633
rna634
rna635
rna642
rna643
rna649
rna655
rna671
rna672
rna673
rna674
rna675
rna682
rna683
rna684
rna685
rna698
rna699
rna700
rna702
rna705
rna706
rna718
rna719
rna727
rna728
rna729
rna745
rna746
rna759
rna760
rna761
rna770
rna771
rna772
rna773
rna774
rna787
rna803
rna804
rna805
rna806
rna807
rna822
rna841
rna844
rna845
rna846
rna864
rna878
rna879
rna880
rna885
rna887
rna892
rna893
rna897
rna898
rna900
rna913
rna916
rna920
rna922
rna927
rna928
rna929
rna930
rna931
rna934
rna935
rna943
rna944
rna950
rna957
rna960
rna961
rna962
rna963
rna978
rna979
rna980
rna981
rna982
rna983
rna985
rna986
rna1000
rna1009
rna1010
rna1065
rna1066
rna1067
rna1068
rna1069
rna1075
rna1076
rna1077
rna1078
rna1087
rna1088
rna1089
rna1090
rna1095
rna1096
rna1097
rna1098
rna1099
rna1114
rna1117
rna1130
rna1131
rna1157
rna1166
rna1167
rna1168
rna1173
rna1174
rna1175
rna1176
rna1177
rna1191
rna1192
rna1193
rna1197
rna1199
rna1201
rna1202
rna1203
rna1217
rna1218
rna1219
rna1220
rna1235
rna1239
rna1259
rna1260
rna1265
rna1282
rna1283
rna1284
rna1285
rna1286
rna1294
rna1295
rna1296
rna1298
rna1305
rna1331
rna1332
rna1333
rna1336
rna1338
rna1341
rna1342
rna1343
rna1346
rna1371
rna1375
rna1376
rna1377
rna1381
rna1394
rna1396
rna1411
rna1426
rna1446
rna1453
rna1454
rna1455
rna1456
rna1457
rna1458
rna1460
rna1461
rna1468
rna1471
rna1472
rna1477
rna1497
rna1498
rna1499
rna1500
rna1524
rna1540
rna1547
rna1548
rna1549
rna1550
rna1552
rna1553
rna1559
rna1560
rna1564
rna1565
rna1566
rna1568
rna1574
rna1584
rna1586
rna1587
rna1589
rna1594
rna1595
rna1599
rna1601
rna1602
rna1604
rna1605
rna1614
rna1615
rna1620
rna1621
rna1630
rna1631
rna1632
rna1641
rna1642
rna1643
rna1644
rna1648
rna1654
rna1662
rna1663
rna1664
rna1665
rna1672
rna1692
rna1693
rna1694
rna1695
rna1703
rna1704
rna1731
rna1745
rna1764
rna1770
rna1771
rna1779
rna1782
rna1795
rna1796
rna1797
rna1798
rna1799
rna1800
rna1816
rna1817
rna1818
rna1819
rna1820
rna1825
rna1826
rna1827
rna1828
rna1832
rna1833
rna1834
rna1858
rna1859
rna1860
rna1866
rna1867
rna1868
rna1869
rna1870
rna1871
rna1872
rna1874
rna1875
rna1876
rna1878
rna1879
rna1880
rna1881
rna1882
rna1883
rna1884
rna1885
rna1886
rna1897
rna1898
rna1899
rna1903
rna1918
rna1919
rna1927
rna1928
rna1929
rna1930
rna1931
rna1932
rna1933
rna1937
rna1942
rna1966
rna1967
rna1968
rna1986
rna1987
rna1991
rna1992
rna2003
rna2016
rna2018
rna2051
rna2052
rna2053
rna2056
rna2059
rna2060
rna2061
rna2062
rna2074
rna2075
rna2087
rna2088
rna2089
rna2090
rna2091
rna2092
rna2093
rna2094
rna2095
rna2097
rna2098
rna2106
rna2111
rna2128
rna2129
rna2138
rna2141
rna2142
rna2146
rna2147
rna2150
rna2157
rna2164
rna2177
rna2179
rna2182
rna2183
rna2184
rna2185
rna2186
rna2187
rna2196
rna2197
rna2199
rna2207
rna2209
rna2210
rna2216
rna2219
rna2220
rna2221
rna2228
rna2229
rna2230
rna2232
rna2241
rna2247
rna2251
rna2252
rna2258
rna2259
rna2260
rna2261
rna2262
rna2266
rna2268
rna2269
rna2271
rna2280
rna2300
rna2301
rna2302
rna2309
rna2319
rna2322
rna2323
rna2335
rna2355
rna2356
rna2357
rna2375
rna2379
rna2380
rna2381
rna2382
rna2402
rna2403
rna2408
rna2409
rna2414
rna2426
rna2427
rna2431
rna2432
rna2434
rna2437
rna2438
rna2439
rna2443
rna2444
rna2447
rna2451
rna2452
rna2462
rna2463
rna2464
rna2469
rna2470
rna2472
rna2473
rna2474
rna2479
rna2500
rna2501
rna2502
rna2503
rna2504
rna2505
rna2509
rna2510
rna2512
rna2517
rna2518
rna2519
rna2520
rna2521
rna2522
rna2523
rna2525
rna2526
rna2527
rna2536
rna2537
rna2541
rna2550
rna2559
rna2566
rna2567
rna2569
rna2570
rna2574
rna2575
rna2577
rna2578
rna2580
rna2581
rna2582
rna2583
rna2586
rna2593
rna2594
rna2595
rna2596
rna2610
rna2614
rna2626
rna2627
rna2628
rna2630
rna2631
rna2632
rna2639
rna2640
rna2641
rna2660
rna2661
rna2662
rna2674
rna2675
rna2676
rna2677
rna2678
rna2681
rna2683
rna2684
rna2686
rna2688
rna2689
rna2690
rna2691
rna2692
rna2693
rna2715
rna2716
rna2719
rna2725
rna2726
rna2727
rna2728
rna2739
rna2740
rna2741
rna2742
rna2743
rna2744
rna2745
rna2746
rna2747
rna2749
rna2750
rna2752
rna2757
rna2758
rna2759
rna2760
rna2761
rna2775
rna2781
rna2787
rna2788
rna2791
rna2794
rna2795
rna2796
rna2797
rna2798
rna2799
rna2800
rna2816
rna2823
rna2825
rna2826
rna2836
rna2844
rna2845
rna2851
rna2852
rna2853
rna2854
rna2860
rna2871
rna2874
rna2878
rna2879
rna2880
rna2881
rna2882
rna2885
rna2899
rna2900
rna2922
rna2935
rna2936
rna2937
rna2945
rna2946
rna2947
rna2948
rna2951
rna2966
rna2976
rna2977
rna2987
rna2988
rna2989
rna2990
rna2991
rna2992
rna2993
rna2994
rna2995
rna2996
rna3002
rna3006
rna3007
rna3008
rna3009
rna3011
rna3015
rna3016
rna3028
rna3029
rna3031
rna3039
rna3040
rna3042
rna3051
rna3054
rna3056
rna3057
rna3062
rna3063
rna3065
rna3066
rna3068
rna3081
rna3083
rna3084
rna3085
rna3086
rna3093
rna3094
rna3128
rna3129
rna3130
rna3131
rna3132
rna3136
rna3137
rna3149
rna3154
rna3155
rna3156
rna3161
rna3162
rna3163
rna3191
rna3192
rna3193
rna3196
rna3197
rna3198
rna3200
rna3201
rna3202
rna3203
rna3213
rna3214
rna3216
rna3223
rna3224
rna3227
rna3228
rna3230
rna3231
rna3236
rna3237
rna3238
rna3239
rna3240
rna3243
rna3244
rna3245
rna3246
rna3247
rna3248
rna3250
rna3253
rna3254
rna3255
rna3256
rna3257
rna3261
rna3262
rna3268
rna3269
rna3270
rna3271
rna3272
rna3273
rna3276
rna3283
rna3284
rna3285
rna3291
rna3292
rna3299
rna3300
rna3301
rna3302
rna3303
rna3304
rna3305
rna3307
rna3308
rna3313
rna3315
rna3332
rna3333
rna3334
rna3335
rna3343
rna3344
rna3345
rna3348
rna3351
rna3356
rna3362
rna3363
rna3364
rna3366
rna3369
rna3371
rna3381
rna3393
rna3396
rna3397
rna3399
rna3401
rna3402
rna3404
rna3407
rna3408
rna3417
rna3418
rna3419
rna3430
rna3432
rna3434
rna3437
rna3440
rna3441
rna3442
rna3443
rna3444
rna3447
rna3449
rna3469
rna3478
rna3481
rna3482
rna3483
rna3484
rna3485
rna3491
rna3492
rna3494
rna3495
rna3496
rna3497
rna3498
rna3499
rna3501
rna3503
rna3504
rna3505
rna3543
rna3544
rna3545
rna3546
rna3547
rna3548
rna3549
rna3551
rna3552
rna3553
rna3565
rna3566
rna3574
rna3582
rna3610
rna3611
rna3617
rna3619
rna3620
rna3621
rna3622
rna3623
rna3645
rna3646
rna3647
rna3648
rna3649
rna3650
rna3656
rna3657
rna3658
rna3659
rna3660
rna3709
rna3710
rna3711
rna3712
rna3713
rna3716
rna3730
rna3731
rna3732
rna3733
rna3737
rna3739
rna3741
rna3742
rna3747
rna3761
rna3762
rna3785
rna3786
rna3787
rna3812
rna3814
rna3815
rna3821
rna3838
rna3839
rna3852
rna3853
rna3854
rna3855
rna3856
rna3857
rna3858
rna3859
rna3865
rna3866
rna3870
rna3871
rna3875
rna3876
rna3877
rna3878
rna3879
rna3880
rna3910
rna3911
rna3912
rna3913
rna3914
rna3915
rna3916
rna3917
rna3918
rna3919
rna3920
rna3922
rna3923
rna3928
rna3929
rna3930
rna3931
rna3932
rna3933
rna3935
rna3938
rna3953
rna3959
rna3960
rna3961
rna3966
rna3969
rna3970
rna3982
rna3983
rna3984
rna3988
rna3989
rna3990
rna3992
rna3993
rna3996
rna3997
rna3998
rna3999
rna4000
rna4002
rna4003
rna4004
rna4013
rna4016
rna4017
rna4026
rna4032
rna4034
rna4040
rna4041
rna4045
rna4046
rna4047
rna4049
rna4050
rna4051
rna4052
rna4059
rna4060
rna4061
rna4063
rna4064
rna4065
rna4066
rna4067
rna4076
rna4082
rna4083
