rna4
rna8
rna21
rna50
rna58
rna56
rna63
rna67
rna69
rna18
rna72
rna64
rna75
rna76
rna89
rna79
rna30
rna32
rna93
rna123
rna71
rna130
rna110
rna161
rna167
rna180
rna186
rna149
rna220
rna234
rna239
rna235
rna246
rna214
rna253
rna268
rna275
rna281
rna289
rna296
rna292
rna319
rna320
rna326
rna316
rna343
rna303
rna363
rna361
rna385
rna379
rna400
rna412
rna424
rna425
rna423
rna398
rna440
rna427
rna475
rna480
rna494
rna496
rna510
rna439
rna534
rna533
rna511
rna574
rna585
rna610
rna611
rna621
rna613
rna629
rna587
rna641
rna645
rna655
rna656
rna450
rna678
rna702
rna701
rna721
rna683
rna742
rna736
rna746
rna774
rna761
rna753
rna788
rna614
rna806
rna807
rna754
rna802
rna850
rna847
rna864
rna855
rna879
rna887
rna885
rna792
rna900
rna927
rna935
rna915
rna956
rna924
rna961
rna957
rna968
rna986
rna1007
rna1010
rna1011
rna1082
rna1069
rna1096
rna1076
rna1125
rna1100
rna1156
rna1162
rna1152
rna1183
rna1200
rna1207
rna1181
rna1225
rna1229
rna1235
rna1244
rna1257
rna1265
rna1214
rna1298
rna1202
rna1313
rna1331
rna1338
rna1344
rna1347
rna1346
rna1370
rna1369
rna1371
rna1394
rna1398
rna1351
rna1421
rna1447
rna1460
rna1471
rna1478
rna1476
rna1477
rna1448
rna1504
rna1500
rna1508
rna1535
rna1524
rna1544
rna1550
rna1554
rna1584
rna1569
rna1592
rna1598
rna1595
rna1603
rna1608
rna1604
rna1611
rna1559
rna1630
rna1614
rna1621
rna1653
rna1661
rna1645
rna1655
rna1672
rna1674
rna1673
rna1692
rna1694
rna1721
rna1764
rna1782
rna1360
rna1792
rna1812
rna1822
rna1829
rna1821
rna1835
rna1852
rna1860
rna1861
rna1876
rna1888
rna1870
rna1898
rna1871
rna1905
rna1907
rna1901
rna1914
rna1918
rna1936
rna1937
rna1942
rna1880
rna1963
rna1968
rna1933
rna2018
rna2026
rna1965
rna2038
rna2051
rna2057
rna2096
rna2063
rna2048
rna2111
rna2107
rna2133
rna2139
rna2143
rna2141
rna2113
rna2138
rna2147
rna2128
rna2105
rna2106
rna2161
rna2157
rna2177
rna2179
rna2207
rna2216
rna2211
rna2182
rna2244
rna2247
rna2269
rna2259
rna2278
rna2280
rna2276
rna2293
rna2271
rna2309
rna2306
rna2311
rna2333
rna2281
rna2342
rna2375
rna2373
rna2409
rna2412
rna2414
rna2426
rna2420
rna2427
rna2371
rna2430
rna2441
rna2449
rna2431
rna2451
rna2498
rna2509
rna2511
rna2510
rna2512
rna2526
rna2552
rna2550
rna2554
rna2536
rna2569
rna2570
rna2502
rna2573
rna2566
rna2579
rna2560
rna2586
rna2575
rna2587
rna2494
rna2590
rna2607
rna2610
rna2627
rna2532
rna2583
rna2633
rna2662
rna2651
rna2681
rna2676
rna2698
rna2684
rna2685
rna2686
rna2716
rna2691
rna2736
rna2733
rna2708
rna2749
rna2752
rna2772
rna2776
rna2803
rna2791
rna2810
rna2823
rna2836
rna2815
rna2845
rna2862
rna2854
rna2867
rna2881
rna2885
rna2878
rna2882
rna2899
rna2919
rna2917
rna2939
rna2933
rna2951
rna2950
rna2936
rna2976
rna2975
rna2996
rna3002
rna2998
rna3003
rna3007
rna3038
rna3039
rna3029
rna3045
rna3051
rna3056
rna3047
rna3050
rna3067
rna3068
rna3081
rna3083
rna3094
rna2991
rna3090
rna3098
rna3110
rna3136
rna3085
rna3138
rna3147
rna3137
rna3128
rna3134
rna3149
rna3159
rna3163
rna3197
rna3150
rna3203
rna3221
rna3220
rna3223
rna3217
rna3247
rna3236
rna3254
rna3251
rna3261
rna3228
rna3284
rna3294
rna3297
rna3292
rna3269
rna3305
rna3335
rna3337
rna3351
rna3356
rna3357
rna3360
rna3355
rna3363
rna3364
rna3362
rna3371
rna3397
rna3408
rna3409
rna3430
rna3431
rna3444
rna3437
rna3445
rna3447
rna3448
rna3459
rna3464
rna3465
rna3417
rna3470
rna3478
rna3492
rna3502
rna3498
rna3506
rna3505
rna3509
rna3494
rna3488
rna3487
rna3529
rna3543
rna3551
rna3552
rna3549
rna3558
rna3572
rna3574
rna3562
rna3575
rna3554
rna3595
rna3610
rna3613
rna3582
rna3627
rna3626
rna3615
rna3586
rna3655
rna3657
rna3660
rna3693
rna3706
rna3711
rna3710
rna3725
rna3727
rna3742
rna3744
rna3747
rna3768
rna3737
rna3774
rna3784
rna3785
rna3792
rna3815
rna3821
rna3839
rna3876
rna3870
rna3871
rna3878
rna3175
rna3911
rna3923
rna3924
rna3935
rna3971
rna3982
rna3983
rna3984
rna3855
rna3985
rna4017
rna4013
rna4026
rna4034
rna4036
rna4045
rna4047
rna4059
rna4056
rna4076
rna4086
rna4077
rna4105
rna4106
rna4121
rna4126
rna4132
rna3894
rna4133
rna4156
rna4158
rna4165
rna4182
rna4180
rna4187
rna3919
rna4236
rna4245
rna4260
rna4252
rna4253
rna4269
rna4283
rna4265
rna4294
rna4286
rna4274
rna4302
rna4315
rna4319
rna4309
rna4326
rna4321
rna4328
rna4140
rna4355
rna4393
rna4401
rna4407
rna4408
rna4416
rna4392
rna4425
rna4431
rna4434
rna4433
rna4445
rna4447
rna4440
rna4454
rna4450
rna4474
rna4481
rna4499
rna4504
rna4497
rna4502
rna4545
rna4547
rna4536
rna4534
rna4565
rna4582
rna4585
rna4584
rna4646
rna4517
rna4671
rna4676
rna4680
rna4675
rna4687
rna4337
rna4705
rna4709
rna4712
rna4746
rna4654
rna4662
rna4758
rna4778
rna4769
rna4793
rna4785
rna4775
rna4796
rna4797
rna4725
rna4787
rna4824
rna4838
rna4812
rna4855
rna4854
rna4882
rna4864
rna4892
rna4896
rna4904
rna4909
rna4915
rna4936
rna4930
rna4938
rna4939
rna4918
rna4935
rna4953
rna4946
rna4958
rna4960
rna4971
rna4944
rna4983
rna5004
rna5015
rna5024
rna5031
rna5033
rna5059
rna5067
rna5069
rna5042
rna5070
rna5091
rna5089
rna5112
rna5115
rna5130
rna5120
rna5131
rna5117
rna5127
rna5151
rna5171
rna5187
rna5202
rna5165
rna5229
rna5238
rna5244
rna5247
rna5266
rna5267
rna5278
rna5287
rna5288
rna5326
rna5313
rna5332
rna5336
rna5353
rna5346
rna5289
rna5387
rna5388
rna5397
rna5401
rna5414
rna5437
rna5434
rna5438
rna5439
rna5446
rna5443
rna5154
rna5450
rna5460
rna5477
rna5485
rna5498
rna5494
rna5500
rna5478
rna5533
rna5532
rna5548
rna5543
rna5550
rna5571
rna5573
rna5563
rna5587
rna5594
rna5585
rna5589
rna5616
rna5617
rna5632
rna5644
rna5621
rna5660
rna5683
rna5685
rna5691
rna5703
rna5735
rna5708
rna5768
rna5761
rna5769
rna5774
rna5782
rna5780
rna5789
rna5809
rna5698
rna5814
rna5829
rna5828
rna5808
rna5839
rna5838
rna5845
rna5840
rna5858
rna5860
rna5861
rna5878
rna5873
rna5909
rna5917
rna5923
rna5925
rna5928
